NOM_MUNICI;DEPARTAMEN;Codigo_DAN
BUGALAGRANDE;VALLE DEL CAUCA;76113
BURITICA;ANTIOQUIA;5113
BUSBANZA;BOYACA;15114
CABRERA_CUN;CUNDINAMARCA;25120
CABRERA_SAN;SANTANDER;68121
CABUYARO;META;50124
CACAHUAL (Cor. Departamental);GUAINIA;94886
CACERES;ANTIOQUIA;5120
CACHIPAY;CUNDINAMARCA;25123
CACHIRA;NORTE DE SANTANDER;54128
CACOTA;NORTE DE SANTANDER;54125
CAICEDO;ANTIOQUIA;5125
CAICEDONIA;VALLE DEL CAUCA;76122
CAIMITO;SUCRE;70124
CAJAMARCA;TOLIMA;73124
CAJIBIO;CAUCA;19130
CAJICA;CUNDINAMARCA;25126
CALAMAR_BOL;BOLIVAR;13140
CALAMAR_GUA;GUAVIARE;95015
CALARCA;QUINDIO;63130
CALDAS_ANT;ANTIOQUIA;5129
CALDAS_BOY;BOYACA;15131
CALDONO;CAUCA;19137
CALI;VALLE DEL CAUCA;76001
CALIFORNIA;SANTANDER;68132
CALIMA (El Darien);VALLE DEL CAUCA;76126
CALOTO;CAUCA;19142
CAMPAMENTO;ANTIOQUIA;5134
CAMPO DE LA CRUZ;ATLANTICO;8137
CAMPOALEGRE;HUILA;41132
CAMPOHERMOSO;BOYACA;15135
CANALETE;CORDOBA;23090
CANASGORDAS;ANTIOQUIA;5138
CANDELARIA_ATL;ATLANTICO;8141
CANDELARIA_VAL;VALLE DEL CAUCA;76130
CANTAGALLO;BOLIVAR;13160
CAPARRAPI;CUNDINAMARCA;25148
CAPITANEJO;SANTANDER;68147
CAQUEZA;CUNDINAMARCA;25151
CARACOLI;ANTIOQUIA;5142
CARAMANTA;ANTIOQUIA;5145
CARCASI;SANTANDER;68152
CAREPA;ANTIOQUIA;5147
CARMEN DE APICALA;TOLIMA;73148
CARMEN DE CARUPA;CUNDINAMARCA;25154
CARMEN DE VIBORAL;ANTIOQUIA;5148
CARMEN DEL DARIEN  (Curbarado);CHOCO;27150
CAROLINA;ANTIOQUIA;5150
CARTAGENA DE INDIAS (Distrito TurIstico y Cultural);BOLIVAR;13001
CARTAGENA DEL CHAIRA;CAQUETA;18150
CARTAGO;VALLE DEL CAUCA;76147
CARURU;VAUPES;97161
CASABIANCA;TOLIMA;73152
CASTILLA LA NUEVA;META;50150
CAUCASIA;ANTIOQUIA;5154
CEPITA;SANTANDER;68160
CERETE;CORDOBA;23162
CERINZA;BOYACA;15162
CERRITO;SANTANDER;68162
CERRO DE SAN ANTONIO;MAGDALENA;47161
CERTEGUI;CHOCO;27160
CHACHAGUI;NARINO;52240
CHAGUANI;CUNDINAMARCA;25168
CHALAN;SUCRE;70230
CHAMEZA;CASANARE;85015
CHAPARRAL;TOLIMA;73168
CHARALA;SANTANDER;68167
CHARTA;SANTANDER;68169
CHIA;CUNDINAMARCA;25175
CHIGORODO;ANTIOQUIA;5172
CHIMA_COR;CORDOBA;23168
CHIMA_SAN;SANTANDER;68176
CHIMICHAGUA;CESAR;20175
CHINACOTA;NORTE DE SANTANDER;54172
CHINAVITA;BOYACA;15172
CHINCHINA;CALDAS;17174
CHINU;CORDOBA;23182
CHIPAQUE;CUNDINAMARCA;25178
CHIPATA;SANTANDER;68179
CHIQUINQUIRA;BOYACA;15176
CHIQUIZA;BOYACA;15232
CHIRIGUANA;CESAR;20178
CHISCAS;BOYACA;15180
CHITA;BOYACA;15183
CHITAGA;NORTE DE SANTANDER;54174
CHITARAQUE;BOYACA;15185
CHIVATA;BOYACA;15187
CHIVOLO;MAGDALENA;47170
CHIVOR;BOYACA;15236
CHOACHI;CUNDINAMARCA;25181
CHOCONTA;CUNDINAMARCA;25183
CICUCO;BOLIVAR;13188
CIENAGA DE ORO;CORDOBA;23189
CIENAGA_MAG;MAGDALENA;47189
CIENEGA_BOY;BOYACA;15189
CIMITARRA;SANTANDER;68190
CIRCASIA;QUINDIO;63190
CISNEROS;ANTIOQUIA;5190
CIUDAD BOLIVAR;ANTIOQUIA;5101
CLEMENCIA;BOLIVAR;13222
COCORNA;ANTIOQUIA;5197
COELLO;TOLIMA;73200
COGUA;CUNDINAMARCA;25200
COLOMBIA;HUILA;41206
COLON;PUTUMAYO;86219
COLON (Genova);NARINO;52203
COLOSO;SUCRE;70204
COMBITA;BOYACA;15204
CONCEPCION_ANT;ANTIOQUIA;5206
CONCEPCION_SAN;SANTANDER;68207
CONCORDIA_ANT;ANTIOQUIA;5209
CONCORDIA_MAG;MAGDALENA;47205
CONDOTO;CHOCO;27205
CONFINES;SANTANDER;68209
CONSACA;NARINO;52207
CONTADERO;NARINO;52210
CONTRATACION;SANTANDER;68211
CONVENCION;NORTE DE SANTANDER;54206
COPACABANA;ANTIOQUIA;5212
COPER;BOYACA;15212
CORDOBA_BOL;BOLIVAR;13212
CORDOBA_NAR;NARINO;52215
CORDOBA_QUI;QUINDIO;63212
CORINTO;CAUCA;19212
COROMORO;SANTANDER;68217
COROZAL;SUCRE;70215
CORRALES;BOYACA;15215
COTA;CUNDINAMARCA;25214
COTORRA;CORDOBA;23300
COVARACHIA;BOYACA;15218
COVENAS;SUCRE;70221
COYAIMA;TOLIMA;73217
CRAVO NORTE;ARAUCA;81220
CUASPUD (Carlosama);NARINO;52224
CUBARA;BOYACA;15223
CUBARRAL;META;50223
CUCAITA;BOYACA;15224
CUCUNUBA;CUNDINAMARCA;25224
CUCUTA;NORTE DE SANTANDER;54001
CUCUTILLA;NORTE DE SANTANDER;54223
CUITIVA;BOYACA;15226
CUMARAL;META;50226
CUMARIBO;VICHADA;99773
CUMBAL;NARINO;52227
CUMBITARA;NARINO;52233
CUNDAY;TOLIMA;73226
CURILLO;CAQUETA;18205
CURITI;SANTANDER;68229
CURUMANI;CESAR;20228
DABEIBA;ANTIOQUIA;5234
DAGUA;VALLE DEL CAUCA;76233
DIBULLA;LA GUAJIRA;44090
DISTRACCION;LA GUAJIRA;44098
DOLORES;TOLIMA;73236
DON MATIAS;ANTIOQUIA;5237
DOSQUEBRADAS;RISARALDA;66170
DUITAMA;BOYACA;15238
DURANIA;NORTE DE SANTANDER;54239
EBEJICO;ANTIOQUIA;5240
EL AGUILA;VALLE DEL CAUCA;76243
EL BAGRE;ANTIOQUIA;5250
EL BANCO;MAGDALENA;47245
EL CAIRO;VALLE DEL CAUCA;76246
EL CALVARIO;META;50245
EL CANTON DEL SAN PABLO;CHOCO;27135
EL CARMEN DE BOLIVAR;BOLIVAR;13244
EL CARMEN_CHO;CHOCO;27245
EL CARMEN_NOR;NORTE DE SANTANDER;54245
EL CARMEN_SAN;SANTANDER;68235
EL CASTILLO;META;50251
EL CERRITO;VALLE DEL CAUCA;76248
EL CHARCO;NARINO;52250
EL COCUY;BOYACA;15244
EL COLEGIO;CUNDINAMARCA;25245
EL COPEY;CESAR;20238
EL DONCELLO;CAQUETA;18247
EL DORADO;META;50270
EL DOVIO;VALLE DEL CAUCA;76250
EL ENCANTO (Cor. Departamental);AMAZONAS;91263
EL ESPINO;BOYACA;15248
EL GUACAMAYO;SANTANDER;68245
EL GUAMO;BOLIVAR;13248
EL LITORAL DEL SAN JUAN;CHOCO;27250
EL MOLINO;LA GUAJIRA;44110
EL PASO;CESAR;20250
EL PAUJIL;CAQUETA;18256
EL PENOL;NARINO;52254
EL PENON_BOL;BOLIVAR;13268
EL PENON_CUN;CUNDINAMARCA;25258
EL PENON_SAN;SANTANDER;68250
EL PINON;MAGDALENA;47258
EL PLAYON;SANTANDER;68255
EL RETEN;MAGDALENA;47268
EL RETORNO;GUAVIARE;95025
EL ROBLE;SUCRE;70233
EL ROSAL;CUNDINAMARCA;25260
EL ROSARIO;NARINO;52256
EL TABLON;NARINO;52258
EL TAMBO_CAU;CAUCA;19256
EL TAMBO_NAR;NARINO;52260
EL TARRA;NORTE DE SANTANDER;54250
EL ZULIA;NORTE DE SANTANDER;54261
ELIAS;HUILA;41244
ENCINO;SANTANDER;68264
ENCISO;SANTANDER;68266
ENTRERRIOS;ANTIOQUIA;5264
ENVIGADO;ANTIOQUIA;5266
ESPINAL;TOLIMA;73268
FACATATIVA;CUNDINAMARCA;25269
FALAN;TOLIMA;73270
FILADELFIA;CALDAS;17272
FILANDIA;QUINDIO;63272
FIRAVITOBA;BOYACA;15272
FLANDES;TOLIMA;73275
FLORENCIA_CAQ;CAQUETA;18001
FLORENCIA_CAU;CAUCA;19290
FLORESTA;BOYACA;15276
FLORIAN;SANTANDER;68271
FLORIDA;VALLE DEL CAUCA;76275
FLORIDABLANCA;SANTANDER;68276
FOMEQUE;CUNDINAMARCA;25279
FONSECA;LA GUAJIRA;44279
FORTUL;ARAUCA;81300
FOSCA;CUNDINAMARCA;25281
FRANCISCO PIZARRO (Salahonda);NARINO;52520
FREDONIA;ANTIOQUIA;5282
FRESNO;TOLIMA;73283
FRONTINO;ANTIOQUIA;5284
FUENTE DE ORO;META;50287
FUNDACION;MAGDALENA;47288
FUNES;NARINO;52287
FUNZA;CUNDINAMARCA;25286
FUQUENE;CUNDINAMARCA;25288
FUSAGASUGA;CUNDINAMARCA;25290
GACHALA;CUNDINAMARCA;25293
GACHANCIPA;CUNDINAMARCA;25295
GACHANTIVA;BOYACA;15293
GACHETA;CUNDINAMARCA;25297
GALAN;SANTANDER;68296
GALAPA;ATLANTICO;8296
GALERAS;SUCRE;70235
GAMA;CUNDINAMARCA;25299
GAMARRA;CESAR;20295
GAMBITA;SANTANDER;68298
GAMEZA;BOYACA;15296
GARAGOA;BOYACA;15299
GARZON;HUILA;41298
GENOVA;QUINDIO;63302
GIGANTE;HUILA;41306
GINEBRA;VALLE DEL CAUCA;76306
GIRALDO;ANTIOQUIA;5306
GIRARDOT;CUNDINAMARCA;25307
GIRARDOTA;ANTIOQUIA;5308
GIRON;SANTANDER;68307
GOMEZ PLATA;ANTIOQUIA;5310
GONZALEZ;CESAR;20310
GRAMALOTE;NORTE DE SANTANDER;54313
GRANADA_ANT;ANTIOQUIA;5313
GRANADA_CUN;CUNDINAMARCA;25312
GRANADA_MET;META;50313
GUACA;SANTANDER;68318
GUACAMAYAS;BOYACA;15317
GUACARI;VALLE DEL CAUCA;76318
GUACHENE;CAUCA;19300
GUACHETA;CUNDINAMARCA;25317
GUACHUCAL;NARINO;52317
GUADALUPE_ANT;ANTIOQUIA;5315
GUADALUPE_HUI;HUILA;41319
GUADALUPE_SAN;SANTANDER;68320
GUADUAS;CUNDINAMARCA;25320
GUAITARILLA;NARINO;52320
GUALMATAN;NARINO;52323
GUAMAL_MAG;MAGDALENA;47318
GUAMAL_MET;META;50318
GUAMO;TOLIMA;73319
GUAPI;CAUCA;19318
GUAPOTA;SANTANDER;68322
GUARANDA;SUCRE;70265
GUARNE;ANTIOQUIA;5318
GUASCA;CUNDINAMARCA;25322
GUATAPE;ANTIOQUIA;5321
GUATAQUI;CUNDINAMARCA;25324
GUATAVITA;CUNDINAMARCA;25326
GUATEQUE;BOYACA;15322
GUATICA;RISARALDA;66318
GUAVATA;SANTANDER;68324
GUAYABAL DE SIQUIMA;CUNDINAMARCA;25328
GUAYABETAL;CUNDINAMARCA;25335
GUAYATA;BOYACA;15325
GUEPSA;SANTANDER;68327
GUICAN;BOYACA;15332
GUTIERREZ;CUNDINAMARCA;25339
HACARI;NORTE DE SANTANDER;54344
HATILLO DE LOBA;BOLIVAR;13300
HATO;SANTANDER;68344
HATO COROZAL;CASANARE;85125
HATO NUEVO;LA GUAJIRA;44378
HELICONIA;ANTIOQUIA;5347
HERRAN;NORTE DE SANTANDER;54347
HERVEO;TOLIMA;73347
HISPANIA;ANTIOQUIA;5353
HOBO;HUILA;41349
HONDA;TOLIMA;73349
IBAGUE;TOLIMA;73001
ICONONZO;TOLIMA;73352
ILES;NARINO;52352
IMUES;NARINO;52354
INIRIDA;GUAINIA;94001
INZA;CAUCA;19355
IPIALES;NARINO;52356
IQUIRA;HUILA;41357
ISNOS;HUILA;41359
ISTMINA;CHOCO;27361
ITAGUI;ANTIOQUIA;5360
ITUANGO;ANTIOQUIA;5361
IZA;BOYACA;15362
JAMBALO;CAUCA;19364
JAMUNDI;VALLE DEL CAUCA;76364
JARDIN;ANTIOQUIA;5364
JENESANO;BOYACA;15367
JERICO_ANT;ANTIOQUIA;5368
JERICO_BOY;BOYACA;15368
JERUSALEN;CUNDINAMARCA;25368
JESUS MARIA;SANTANDER;68368
JORDAN;SANTANDER;68370
JUAN DE ACOSTA;ATLANTICO;8372
JUNIN;CUNDINAMARCA;25372
JURADO;CHOCO;27372
LA APARTADA;CORDOBA;23350
LA ARGENTINA;HUILA;41378
LA BELLEZA;SANTANDER;68377
LA CALERA;CUNDINAMARCA;25377
LA CAPILLA;BOYACA;15380
LA CEJA;ANTIOQUIA;5376
LA CELIA;RISARALDA;66383
LA CHORRERA (Cor. Departamental);AMAZONAS;91405
LA CRUZ;NARINO;52378
LA CUMBRE;VALLE DEL CAUCA;76377
LA DORADA;CALDAS;17380
LA ESPERANZA;NORTE DE SANTANDER;54385
LA ESTRELLA;ANTIOQUIA;5380
LA FLORIDA;NARINO;52381
LA GLORIA;CESAR;20383
LA GUADALUPE (Cor. Departamental);GUAINIA;94885
LA JAGUA DE IBIRICO;CESAR;20400
LA JAGUA DEL PILAR;LA GUAJIRA;44420
LA LLANADA;NARINO;52385
LA MACARENA;META;50350
LA MERCED;CALDAS;17388
LA MESA;CUNDINAMARCA;25386
LA PALMA;CUNDINAMARCA;25394
LA PAZ_CES;CESAR;20621
LA PAZ_SAN;SANTANDER;68397
LA PEDRERA (Cor. Departamental);AMAZONAS;91407
LA PENA;CUNDINAMARCA;25398
LA PINTADA;ANTIOQUIA;5390
LA PLATA;HUILA;41396
LA PLAYA;NORTE DE SANTANDER;54398
LA PRIMAVERA;VICHADA;99524
LA SALINA;CASANARE;85136
LA SIERRA;CAUCA;19392
LA TEBAIDA;QUINDIO;63401
LA TOLA;NARINO;52390
LA UNION_ANT;ANTIOQUIA;5400
LA UNION_NAR;NARINO;52399
LA UNION_SUC;SUCRE;70400
LA UNION_VAL;VALLE DEL CAUCA;76400
LA UVITA;BOYACA;15403
LA VEGA_CAU;CAUCA;19397
LA VEGA_CUN;CUNDINAMARCA;25402
LA VICTORIA (Pacoa) (Cor. Departamental);AMAZONAS;91430
LA VICTORIA_BOY;BOYACA;15401
LA VICTORIA_VAL;VALLE DEL CAUCA;76403
LA VIRGINIA;RISARALDA;66400
LABATECA;NORTE DE SANTANDER;54377
LABRANZAGRANDE;BOYACA;15377
LANDAZURI;SANTANDER;68385
LEBRIJA;SANTANDER;68406
LEIVA;NARINO;52405
LEJANIAS;META;50400
LENGUAZAQUE;CUNDINAMARCA;25407
LERIDA;TOLIMA;73408
LETICIA;AMAZONAS;91001
LIBANO;TOLIMA;73411
LIBORINA;ANTIOQUIA;5411
LINARES;NARINO;52411
LLORO;CHOCO;27413
LOPEZ;CAUCA;19418
LORICA;CORDOBA;23417
LOS ANDES (Sotomayor);NARINO;52418
LOS CORDOBAS;CORDOBA;23419
LOS PALMITOS;SUCRE;70418
LOS PATIOS;NORTE DE SANTANDER;54405
LOS SANTOS;SANTANDER;68418
LOURDES;NORTE DE SANTANDER;54418
LURUACO;ATLANTICO;8421
MACANAL;BOYACA;15425
MACARAVITA;SANTANDER;68425
MACEO;ANTIOQUIA;5425
MACHETA;CUNDINAMARCA;25426
MADRID;CUNDINAMARCA;25430
MAGANGUE;BOLIVAR;13430
MAGUI (Payan);NARINO;52427
MAHATES;BOLIVAR;13433
MAICAO;LA GUAJIRA;44430
MAJAGUAL;SUCRE;70429
MALAGA;SANTANDER;68432
MALAMBO;ATLANTICO;8433
MALLAMA (Piedrancha);NARINO;52435
MANATI;ATLANTICO;8436
MANAURE;LA GUAJIRA;44560
MANAURE BALCON DEL CESAR;CESAR;20443
MANI;CASANARE;85139
MANIZALES;CALDAS;17001
MANTA;CUNDINAMARCA;25436
MANZANARES;CALDAS;17433
MAPIRIPAN;META;50325
MAPIRIPANA (Cor. Departamental);GUAINIA;94663
MARGARITA;BOLIVAR;13440
MARIA LA BAJA;BOLIVAR;13442
MARINILLA;ANTIOQUIA;5440
MARIPI;BOYACA;15442
MARIQUITA;TOLIMA;73443
MARMATO;CALDAS;17442
MARQUETALIA;CALDAS;17444
MARSELLA;RISARALDA;66440
MARULANDA;CALDAS;17446
MATANZA;SANTANDER;68444
MEDELLIN;ANTIOQUIA;5001
MEDINA;CUNDINAMARCA;25438
MEDIO ATRATO (Bete);CHOCO;27425
MEDIO BAUDO (Boca de Pepe);CHOCO;27430
MEDIO SAN JUAN (Andagoya);CHOCO;27450
MELGAR;TOLIMA;73449
MERCADERES;CAUCA;19450
MESETAS;META;50330
MILAN;CAQUETA;18460
MIRAFLORES_BOY;BOYACA;15455
MIRAFLORES_GUA;GUAVIARE;95200
MIRANDA;CAUCA;19455
MIRITI-PARANA (Campoamor) (Cor. Departamental);AMAZONAS;91460
MISTRATO;RISARALDA;66456
MITU;VAUPES;97001
MOCOA;PUTUMAYO;86001
MOGOTES;SANTANDER;68464
MOLAGAVITA;SANTANDER;68468
MOMIL;CORDOBA;23464
MOMPOS;BOLIVAR;13468
MONGUA;BOYACA;15464
MONGUI;BOYACA;15466
MONIQUIRA;BOYACA;15469
MONITOS;CORDOBA;23500
MONTANITA;CAQUETA;18410
MONTEBELLO;ANTIOQUIA;5467
MONTECRISTO;BOLIVAR;13458
MONTELIBANO;CORDOBA;23466
MONTENEGRO;QUINDIO;63470
MONTERIA;CORDOBA;23001
MONTERREY;CASANARE;85162
MORALES_BOL;BOLIVAR;13473
MORALES_CAU;CAUCA;19473
MORELIA;CAQUETA;18479
MORICHAL (Morichal Nuevo) (Cor. Departamental);GUAINIA;94888
MORROA;SUCRE;70473
MOSQUERA_CUN;CUNDINAMARCA;25473
MOSQUERA_NAR;NARINO;52473
MOTAVITA;BOYACA;15476
MURILLO;TOLIMA;73461
MURINDO;ANTIOQUIA;5475
MUTATA;ANTIOQUIA;5480
MUTISCUA;NORTE DE SANTANDER;54480
MUZO;BOYACA;15480
NARINO_ANT;ANTIOQUIA;5483
NARINO_CUN;CUNDINAMARCA;25483
NARINO_NAR;NARINO;52480
NATAGA;HUILA;41483
NATAGAIMA;TOLIMA;73483
NECHI;ANTIOQUIA;5495
NECOCLI;ANTIOQUIA;5490
NEIRA;CALDAS;17486
NEIVA;HUILA;41001
NEMOCON;CUNDINAMARCA;25486
NILO;CUNDINAMARCA;25488
NIMAIMA;CUNDINAMARCA;25489
NOBSA;BOYACA;15491
NOCAIMA;CUNDINAMARCA;25491
NORCASIA;CALDAS;17495
NOROSI;BOLIVAR;13490
NOVITA;CHOCO;27491
NUEVA GRANADA (Granada);MAGDALENA;47460
NUEVO COLON;BOYACA;15494
NUNCHIA;CASANARE;85225
NUQUI;CHOCO;27495
OBANDO;VALLE DEL CAUCA;76497
OCAMONTE;SANTANDER;68498
OCANA;NORTE DE SANTANDER;54498
OIBA;SANTANDER;68500
OICATA;BOYACA;15500
OLAYA;ANTIOQUIA;5501
OLAYA HERRERA (Bocas de Satinga);NARINO;52490
ONZAGA;SANTANDER;68502
OPORAPA;HUILA;41503
ORITO;PUTUMAYO;86320
OROCUE;CASANARE;85230
ORTEGA;TOLIMA;73504
OSPINA;NARINO;52506
OTANCHE;BOYACA;15507
OVEJAS;SUCRE;70508
PACHAVITA;BOYACA;15511
PACHO;CUNDINAMARCA;25513
PACOA (Cor. Departamental);VAUPES;97511
PACORA;CALDAS;17513
PADILLA;CAUCA;19513
PAEZ;BOYACA;15514
PAEZ (Belalcazar);CAUCA;19517
PAICOL;HUILA;41518
PAILITAS;CESAR;20517
PAIME;CUNDINAMARCA;25518
PAIPA;BOYACA;15516
PAJARITO;BOYACA;15518
PALERMO;HUILA;41524
PALESTINA_CAL;CALDAS;17524
PALESTINA_HUI;HUILA;41530
PALMAR;SANTANDER;68522
PALMAR DE VARELA;ATLANTICO;8520
PALMAS DEL SOCORRO;SANTANDER;68524
PALMIRA;VALLE DEL CAUCA;76520
PALMITO;SUCRE;70523
PALOCABILDO;TOLIMA;73520
PAMPLONA;NORTE DE SANTANDER;54518
PAMPLONITA;NORTE DE SANTANDER;54520
PANA PANA (Campo Alegre) (Cor. Departamental);GUAINIA;94887
PANDI;CUNDINAMARCA;25524
PANQUEBA;BOYACA;15522
PAPUNAUA (Cor. Departamental);VAUPES;97777
PARAMO;SANTANDER;68533
PARATEBUENO;CUNDINAMARCA;25530
PASCA;CUNDINAMARCA;25535
PASTO;NARINO;52001
PATIA  (El Bordo);CAUCA;19532
PAUNA;BOYACA;15531
PAYA;BOYACA;15533
PAZ DE ARIPORO;CASANARE;85250
PAZ DE RIO;BOYACA;15537
PEDRAZA;MAGDALENA;47541
PELAYA;CESAR;20550
PENOL;ANTIOQUIA;5541
PENSILVANIA;CALDAS;17541
PEQUE;ANTIOQUIA;5543
PEREIRA;RISARALDA;66001
PESCA;BOYACA;15542
PIAMONTE;CAUCA;19533
PIEDECUESTA;SANTANDER;68547
PIEDRAS;TOLIMA;73547
PIENDAMO;CAUCA;19548
PIJAO;QUINDIO;63548
PIJINO  DEL CARMEN;MAGDALENA;47545
PINCHOTE;SANTANDER;68549
PINILLOS;BOLIVAR;13549
PIOJO;ATLANTICO;8549
PISVA;BOYACA;15550
PITAL;HUILA;41548
PITALITO;HUILA;41551
PIVIJAY;MAGDALENA;47551
PLANADAS;TOLIMA;73555
PLANETA RICA;CORDOBA;23555
PLATO;MAGDALENA;47555
POLICARPA;NARINO;52540
POLONUEVO;ATLANTICO;8558
PONEDERA;ATLANTICO;8560
POPAYAN;CAUCA;19001
PORE;CASANARE;85263
POTOSI;NARINO;52560
PRADERA;VALLE DEL CAUCA;76563
PRADO;TOLIMA;73563
PROVIDENCIA;NARINO;52565
PROVIDENCIA Y SANTA CATALINA (Santa Isabel);ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;88564
PUEBLO BELLO;CESAR;20570
PUEBLO NUEVO;CORDOBA;23570
PUEBLO RICO;RISARALDA;66572
PUEBLO VIEJO;MAGDALENA;47570
PUEBLORRICO;ANTIOQUIA;5576
PUENTE NACIONAL;SANTANDER;68572
PUERRES;NARINO;52573
PUERTO ALEGRIA (Cor. Departamental);AMAZONAS;91530
PUERTO ARICA (Cor. Departamental);AMAZONAS;91536
PUERTO ASIS;PUTUMAYO;86568
PUERTO BERRIO;ANTIOQUIA;5579
PUERTO BOYACA;BOYACA;15572
PUERTO CAICEDO;PUTUMAYO;86569
